기업명,주요업무,자격요건,우대사항
코아시아씨엠코리아,"스마트폰 카메라 모듈 개발 업무(SW) • SW (0명) 1. 프로젝트 관리 : 후공정 SW개발, 후공정 설비 SW 개발, 프로세스 개선 SW 개발 등 2. 플랫폼 : 신규 검사 기능 개발, 자동화 및 제어 관련 개발, 알고리즘 신규 개발 및 성능 개선 등 3. 공정 개선 테스트용 SW개발, 업무효율화 및 수율 개선을 위한 지원 SW개발 등.","경력 0년 이상 ~ 15년 이하대학졸업(2,3년) 이상.",해당 직무 경험.
니어스랩,"• 자율 비행체 플랫폼의 핵심 소프트웨어 스택 설계/개발• 다양한 드론 플랫폼에서 공통으로 사용되는 코어 라이브러리와 자율 비행 모듈 구축• 드론이 자율적으로 임무를 수행하는 데 필요한 공통 소프트웨어 플랫폼 구축 • 센서 데이터 처리, 인지 알고리즘, 경로 생성 및 최적화, 비행 제어, 충돌 회피, 비상 상황 관리, 모드 전환, 실시간 통신 프로토콜, 임무 관리 시스템 등• HW Platform팀이 개발한 드론 코어 플랫폼 위에 소프트웨어를 통합• 하드웨어 특성을 고려한 최적화와 센서/액추에이터 인터페이스 구현 수행• 선행기술팀, HW 플랫폼팀 및 각 드론 제품팀과 협력하여 요구사항을 정의하고 시뮬레이션부터 실제 비행 시험까지 전 과정 참여• 개발한 소프트웨어 플랫폼을 각 임무별 드론 제품팀이 효과적으로 활용할 수 있도록 제공• 명확한 API 설계, 체계적인 SDK 구축, 추상화, 상세한 기술 문서 작성을 통해 제품팀이 플랫폼 기능을 빠르게 이해하고 통합할 수 있는 환경 셋팅• 제품팀과의 긴밀한 협업을 통해 실제 사용 피드백을 수렴하고 플랫폼을 지속적인 개선 업무 수행• 새로운 임무 요구사항에 대응할 수 있는 확장 가능하고 유지보수가 용이한 아키텍처 설계.","• 항공우주공학, 컴퓨터공학, 전기/전자공학, 기계공학, 로보틱스, 메카트로닉스 또는 관련 분야의 학사 이상 학위를 보유하신 분• Linux 환경에서 C++을 활용한 3년 이상의 실무 개발 경험을 보유하신 분• 자료구조, 알고리즘, 병렬처리, 코드 최적화에 대한 깊이 있는 이해를 가지신 분• 센서 데이터 처리 및 하드웨어 인터페이스 통합 경험이 있으신 분• 복잡한 시스템 아키텍처를 설계하고 문서화할 수 있는 능력을 갖추신 분• 팀 간 협업 경험과 기술 문서 작성 능력을 보유하신 분.","• 관련 전공에서 석사 또는 박사 학위를 보유하신 분• 드론, UAV 또는 자율 비행체 시스템 개발 경험을 보유하신 분• Flight Control Software 또는 Operational Flight Program(OFP) 개발 경험을 보유하신 분• 임베디드 시스템 또는 실시간 시스템 개발 경험을 보유하신 분• 경로 계획, 인식, 위치추정, 매핑, 비행 제어 중 한 가지 이상의 분야에서 실무 경험을 보유하신 분• ROS/ROS2, MAVLink, PX4 등 로보틱스 미들웨어 또는 비행 제어 프레임워크 사용 경험이 있으신 분• IMU, GPS, LiDAR, 카메라 등 다양한 센서 처리 및 서보모터, ESC 등 액추에이터 제어 경험을 보유하신 분• GStreamer, FFmpeg, WebRTC 등을 활용한 실시간 비디오 스트리밍 시스템 개발 경험을 보유하신 분• 플랫폼 또는 SDK 개발 경험으로 API 설계 및 문서화 역량을 갖추신 분• gRPC, Protobuf, WebSocket, DDS, MQTT 등 분산 시스템 통신 프로토콜에 대한 이해와 적용 경험을 보유하신 분• 다수의 로봇 또는 드론이 협업하는 멀티 에이전트 시스템 개발 경험이 있으신 분• 좌표계 변환, 센서 융합, SLAM 등 복잡한 수학적 문제 해결 경험을 보유하신 분• 실제 비행 시험 및 현장 배치 경험으로 하드웨어-소프트웨어 통합 검증 역량을 갖추신 분• Docker, Kubernetes 등 컨테이너 기반 배포 환경 구축 및 운영 경험을 보유하신 분."
스카이랩스(SkyLabs),"이런 업무를 하시게 됩니다.• 제품개발 프로젝트의 전체 일정 관리를 담당하며, 여러 팀 간 협업 조율• 프로덕트 로드맵을 기반으로 한 실행 전략 수립 및 목표 달성 관리• 내부 개발팀 간 커뮤니케이션 허브 역할을 수행• 기술적 리스크와 이슈 관리, 우선순위 조정, 문제 해결 프로세스 수립 및 개선• 프로젝트 문서화, 개발 표준 및 프로세스 개선, 운영 효율성 강화를 위한 제안 및 실행• 개발 조직 내 일정 관리·업무 분배·리소스 최적화를 통한 생산성을 극대화.","이런 분들을 모시려고 해요.• 총 경력 8~15년(HW/기구/FW 개발 경력 포함), 3년 이상 PM/PL 경험이 있으신 분• 프로젝트 관리 및 기술적 배경(TPM, PM, PL 역할) 경험자• 리소스·일정·품질을 균형 있게 조율할 수 있는 실행력과 커뮤니케이션 역량을 갖춘 분• 개발 기술 및 기술 트렌드에 대한 이해도가 높으신 분• Hardware 및 Firmware 개발 이해도가 있는 분• Product Lifecycle 및 PLM 프로세스 전반에 대한 이해도가 높으신 분• 기술 문서 작성 및 관리 능력이 있으신 분• 해외 출장 및 근무에 결격 사유 없으신 분.","이런 분들을 우대합니다.• 헬스케어, 의료기기 산업 관련 프로젝트 경험자• 스타트업 또는 변화가 빠른 환경에서 실무 경험이 풍부한 분• 조직 성장과 개발 문화 개선에 기여한 경험이 있으신 분• PLM 전주기를 경험해 보신 분."
아이에이치더블유,"[Job Summary]• 차세대 AI 가속기 SoC를 위한 Simulator/Profiler/Compiler 경력 엔지니어 O명을 모집합니다.• On-Device-Edge AI SDK 개발 업무(아래의 업무 중 하나 이상)를 수행합니다. * HW Simulator * Profiler * Compiler• Software Architecture & Implementation 업무를 수행합니다.[Responsibilities]• 대상 Device의 HW Simulator, Profiler, Compiler 설계 및 구현• 딥러닝 모델(Graph) 변환 및 최적화 알고리즘 개발 (Complier)• 연산 스케줄링 및 메모리 관리 전략 설계 (Compiler)• SoC 환경에서의 컴파일러 성능 최적화 (HW Simulator)• 하드웨어 특성(RISC-V, pCore, aCore)에 맞춘 코드 생성 및 최적화 (HW Simulator, Profiler)• 런타임 시스템 및 커널과의 인터페이스 개발 (Compiler)• 성능 분석, 프로파일링 및 디버깅 도구 개발 (HW Simulator, Profiler).","• 컴파일러 아키텍처 및 최적화 경험• 그래프 변환 및 연산 스케줄링 알고리즘 개발 경험• 메모리 관리 및 SoC 환경에서의 성능 최적화 경험• HW C++ Modeling, Integration 구현• HW Metric Profiling (Power, Clock Latency, Memory BW)• Debugger (Network상 Layer 단위 Step Simulation)• C/C++, Python 프로그래밍 능력• Git, CI/CD 등 개발 협업 도구 활용 능력.","[Preferred Qualifications]• 딥러닝 프레임워크(TensorFlow, PyTorch 등) 내부 구조 이해• ONNX 기반 Network 분석 및 Graph optimization 경험• NPU, GPU, DSP 등 AI 가속기 관련 경험• LLVM, MLIR, TVM 등 컴파일러 프레임워크 활용 경험• RISC-V ISA 및 하드웨어 아키텍처 이해• 저전력 및 고성능 최적화 경험• SDK 및 응용 예제 개발 경험• GUI (Qt, WPF 등) 프로그래밍 능력[Soft Skills]• 문제 해결 능력 및 논리적 사고• 하드웨어/소프트웨어 팀과의 원활한 커뮤니케이션• 새로운 기술 학습에 대한 적극성."
오에이큐,"• 양자 센서 플랫폼용 디지털·신호처리·통신 서브시스템 설계 및 구현• FPGA 기반 RTL 설계 및 신호처리 알고리즘 개발• 임베디드 및 저비용 플랫폼의 지연시간, 신뢰성, 저전력 최적화• 하드웨어 플랫폼 통합, 테스트 및 검증 수행• RF, 임베디드, DSP 엔지니어와 협업하여 고성능·고신뢰 센싱 시스템 개발• 딥러닝 응용을 위한 시스템 최적화 및 실험 지원• 연구소(랩) 환경에서 하드웨어/소프트웨어 통합 지원.","• 컴퓨터공학, 전기전자공학, 수학 등 관련 전공 학사 이상• 하드웨어 개발 경력 5년 이상• FPGA 플랫폼 개발 경험 2년 이상• Verilog, SystemVerilog 또는 VHDL 사용 경험 2년 이상• 보호 장비 착용 후25kg 장비 운반 가능• 영어로 업무 및 전문적인 의사소통 가능.","• 복잡한 디지털 회로 설계 및 검증 경험• FPGA 개발 전 과정(설계 ＞ 시뮬레이션 ＞ 합성 ＞ 타이밍 ＞ 검증) 수행 경험• SoC 플랫폼 통합 및 PS/PL 인터페이스 설계 경험• Xilinx 등 FPGA 플랫폼 및 개발 툴 숙련• 딥러닝 알고리즘 및 응용 경험• 전자 회로도 판독 및 하드웨어 설계 논의 가능• 임베디드 C/C++ 또는 시스템 프로그래밍 경험• DSP 개념(확산 스펙트럼, FEC, 채널 추정, 변조, 필터 설계 등)에 대한 이해• FFT, FIR/IIR 필터 등 신호처리 경험• 뛰어난 커뮤니케이션 능력 및 협업 역량."
엠투클라우드,"• Embedded system H/W 설계 및 개발(센서 및 저전력 회로 설계, 전류 소모 최적화)• 자재수배, 발주 및 제품 양산 대응, A/S대응• 생산 및 품질 관련 문서(BOM, 테스트 절차 등) 작성• 디자인, 기구설계자와 협업을 통한 조립 및 양산성 검증• 펌웨어 및 서버 개발자와의 협업을 통한 제품 통합 검증.","• 전자공학, 컴퓨터공학 등 관련 전공자• 관련업무 2~8년 경험자• 해외여행 및 근무에 결격사유가 없는.","• IoT 디바이스(저전력, BT/WIFI/LTE 무선통신) 회로 설계 및 검증 경험• 회로설계 Tool(ORCAD), PCB 설계 툴 사용자(PADS)."
아이씨티케이,• 아날로그 접적회로 설계 및 검증 - Bandgap reference (BGR) - Low-dropout regulator (LDO) - Power on reset (POR) - Internal Oscillator (OSC) - Phase locked loop (PLL) - Charge pump - Voltage detector - Temperature sensor - Light sensor.,• Cadence Virtuoso 설계 경험• Synopsys HSPICE 시뮬레이션 경험.,• 집적회로 설계 및 레이아웃 경험자• 아날로그 회로의 Verilog modeling 경험자• Verilog-SPICE Co-simulation 경험자• ESD 설계 경험자• 집적회로설계 분야의 석사/박사 학위 소지자.
글라우드,"• 3D 프린터 및 주변 장비(세척기, 경화기) 제품 전략·로드맵 수립• 광경화(LED/LCD) 기반 핵심 HW 구조 설계 및 기구 설계 기획• 모터 제어·광학·열처리 등 하드웨어 기술 개발 및 최적화• 시제품 제작·성능 검증 및 사용성 개선• 치과 현장 UX 중심의 기구 설계(수조, 커버, 인터페이스 등)• 부품 설계·금형 제작·외부 협력사 관리• 의료기기 인허가 및 규제 요구사항을 반영한 제품화.","• 5년 이상의 제품 기획/개발 경험 (3D 프린터, 광학기기, 소형가전, 의료기기 등)• 광학·LED/LCD·모터 제어 등 하드웨어 경험• 기구 설계 및 시제품 검증 경험• 체계적 문제 해결 및 크로스펑셔널 협업 능력.","• 치과용 3D 프린터 또는 광경화 장비 개발 경험• 소형가전(광학, 모터, 열처리) 설계·개발 경험• CAD/CAE 활용 능력 및 금형 설계 경험• 의료기기 규제(QMS, ISO13485, GMP 등) 대응 경험• 글로벌 협업 및 영어 커뮤니케이션 능력."
아이코어,• 아날로그/디지털 회로설계• 개발 제품 테스트 및 디버깅• PCB 설계• 생산지원.,• 전기/전자공학 계열 전공하신 분.,• 전자회로 및 이미지 센서에 대한 지식을 갖추신 분• 전자부품에 대한 이해가 있으신 분• 유관업무 및 프로젝트 경험해 보신 분.
코아시아씨엠코리아,"스마트폰 카메라 모듈 개발 업무(광학) • 광학 (0명) 1. 원자재 검토 : LENS 원자재 검토, IR Filter 설계 사양 검토 단품 및 한도 평가 진행 등 2. 모듈 검토 : 모듈 해상력 검토를 위한 외관, 렌즈 기인성 모듈 신뢰성 영향 분석 3. Flare 검토 : 조도별, 각도별 Flare 촬영 및 영상 취득 등 4. 성능 검토 : Lens MTF, Flare, Coating등 성능 검토 및 개선, 광학 설계 가능자 우대.","경력 0년 이상 ~ 15년 이하대학졸업(2,3년) 이상.",해당 직무 경험.
리얼월드,"- RLWRLD 및 글로벌 오픈소스 Robot foundation model의 로봇에서 구현하기 위한 Fine-tuning 및 제어- 고객사 현장에 로봇 시스템, 센서 및 데이터 수집 시스템(4D 모션 캡처 등)의 설치, 설정(Setup) 및 시운전(Commissioning) 수행- PoC 및 데이터 수집 과정에서 발생하는 HW/SW 기술 이슈의 즉각적인 현장 대응, 원인 분석 및 해결(Troubleshooting)- 시스템 로그 분석, 시퀀스 디버깅, 파라미터 튜닝을 통한 시스템 안정화 및 최적화- AI 모델의 현장 성능을 정량적으로 평가하고, 데이터 품질(라벨링, 어노테이션 등) 및 모델 피드백 루프를 운영- 고객 환경에 적합한 데이터 수집 전략을 수립 및 실행하고, 모델 개선을 위한 정제 데이터를 내부 ML팀에 전달- 고객사 및 SI 파트너 대상의 시스템 운영/유지보수 교육 및 기술 지원 제공- 현장 이슈, 고객 피드백, 개선 사항을 식별하여 프로젝트 관리자 및 내부 Tech팀에 리포트 및 공유- 모호하고 예측 불가능한 환경 속에서, 데이터와 논리에 기반하여 문제를 구조화하고 실행으로 연결.","- B2B 기술 분야(로봇, 자동화, AI, IT/SW)에서 3년 이상의 현장 기술 엔지니어(FE, AE, FAE, Commissioning Engineer 등) 경력을 보유하신 분- 로봇 시스템(산업용, 협동로봇, AMR 등), 자동화 설비 또는 AI/머신러닝이 적용된 기기의 현장 설치, 시운전, 유지보수(Troubleshooting) 경험- (로봇 경험 보유 시) ROS/ROS2, PLC, 로봇 컨트롤러 등 이기종 시스템 간 연동 및 통합 프로젝트 실무 경험- (AI 경험 보유 시) 이기종 OT/IT와 엣지 추론 영역에서 ‘데이터→모델→제어’의 전 과정의 설계·검증·운영 실무 경험- 로그 분석, 데이터 기반의 가설 검증을 통해 복잡한 기술 문제의 근본 원인을 파악하고 해결하는 능력- 고객, 파트너사(SI) 등 외부 이해관계자와 기술적인 내용을 명확하게 소통하고 협업하는 능력- 국내외 출장 및 현장 근무에 대한 거부감이 없으며, 주도적으로 문제를 해결하려는 의지가 강하신 분- 새로운 환경에서도 빠르게 문제의 구조를 파악하고 솔루션을 실행으로 옮길 수 있는 적응형 문제해결 역량 (Adaptive Execution) 보유자.","- LIDAR, Depth 카메라, IMU 등 다양한 센서의 캘리브레이션 및 활용 경험- Linux 환경 및 Python, C++ 등 프로그래밍 언어 활용 능력- AI, 머신러닝, 컴퓨터 비전(CV) 프로젝트 관련 현장 지원 또는 데이터 수집 경험- Edge 디바이스(GPU/IPC) 리소스 관리 및 배포 경험- 영어 또는 일본어 비즈니스 커뮤니케이션 능력- 고객 문제 정의에서 모델 피드백까지 End-to-End 플로우를 리드해본 경험 또는 관심."
클레,"3차원 머신비전 카메라 및 하드웨어 개발 전반을 담당합니다.현장 환경에서 안정적으로 작동하는 시스템을 만들기 위해,회로 설계부터 품질 관리까지 전 과정을 주도적으로 수행합니다.• Cortex-A급 기반의 회로 설계 및 고속 통신(이더넷, USB3.0 이상) 설계• PCB Artwork 및 외주 관리• EMC 시험 및 디버깅• 머신비전 시스템의 변경점·품질 관리.","• 직무 관련 전공 학사 이상의 학위를 소지하고 졸업 후 최소 4년 이상의 개발경험을 가진 분을 찾고 있어요.• 업무상 필요에 의하여 해외출장이 있을 수 있습니다.• 주어진 업무에 주장(chief)으로써 능동적으로 고민하고 스스로 결정하며 일을 추진할 수 있어야 합니다.• 군포 시스템연구소(경기도 군포시 공단로 117, 1층)에서 근무가 가능해야 합니다.이런 분이면 더 잘 맞습니다 : )• 산업용 고기능 제품(PLC, HMI, Recorder 등) 개발 경험자• 3D 머신비전용 카메라, 로봇비전 장비 등 유사 제품 개발 경험자• 생산/품질/개발 간 커뮤니케이션을 주도적으로 이끌 수 있는 분.","• 비전 시스템(2D/3D) 개발 경험• Reverse Engineering 역량• 프로젝트 관리 경험 (기구설계 협업 경험 포함)• 기술 스택 및 활용 툴1) HW Design Tools: Altium Designer, OrCAD/PADS2) Debug & Verification: EMC 디버깅3) Interface/Platform: Ethernet, USB3.0, Cortex-A."
에스디티,• 하드웨어 설계 분야 지원• 자재 수급 및 관리• 제품 이력 관리• 인증 업무 지원.,• 초대졸 이상.,• 관련 전공(전자공학과 등) 우대• OrCad/PADS를 다뤄본 경험이 있는자• FPGA를 경험해본 자.
아이씨티케이,• 보안칩에 대한 국내외 고객 기술 지원• HW 개발 기술 지원• 보안칩 개발 문서 관리 등.,"• 경력 7 ~ 15년 (과~차장 / 수석급)• IT 분야 개발 경험자 - Embedded system HW 개발 경험 - 통신 프로토콜(I2C, SPI 등), 반도체 등 관련 지식 보유 - Logic Analyzer, Oscilloscope등 계측 장비 사용.",• Embedded system 관련 제품 SW 또는 FW 개발 경험자• 모바일 제품 개발 또는 지원 경험자• 외국어 가능자 (영어 등).
오토엘(AutoL),• 라이다 디지털 시스템 요구사양 기반 칩 선정 및 Top Design (Xilinx Zynq)2. 라이다 물리 계층 신호 처리 IP RTL 설계 및 검증3. AMBA 프로토콜 기반 시스템 설계 및 검증4. 설계 IP Simulation & Verification5. FPGA 프로토타입 개발 및 검증.,"• 3년 이상 경력자 채용• 전기전자, 컴퓨터, 정보통신 계열 전공자• Xilinx FPGA 사용 경험 및 Xilinx Zynq 기반 설계• Verilog-HDL 기반 RTL 설계• Fixed pts(고정 소수점) 설계 경험• FPGA 프로토타입 개발 및 검증.",• 원활한 커뮤니케이션 능력 • 전기전자/컴퓨터/정보통신 등 관련 공학 계열.
그리드큐어,"Responsibilities [합류하면 함께 할 업무에요]• FPGA 또는 임베디드 시스템 개발• 신호 발생 및 계측용 소형/포터블 장비의 회로 설계 및 개발• 임의파형발생기(DAC 기반) 및 고속 샘플링 오실로스코프(ADC 기반) 회로 구현• ADC, DAC EVM(Evaluation Module) 보드를 활용한 초기 프로토타입 개발• 전압 제어 및 주파수 제어 회로 설계 (Bias 회로, 증폭기, 필터 포함)• 무선 통신 기반 제어 시스템 연동 (PC 장비)• 펌웨어, 소프트웨어 팀과의 협업을 통한 통신 및 제어 인터페이스 개발.","Qualifications [이런 자격은 필수에요]• 전기전자, 제어, 컴퓨터, 메카트로닉스 등 관련 전공 학사 이상• 아날로그 및 디지털 회로 설계 경험• 고속 ADC/DAC 시스템 또는 신호처리 계측기기에 대한 이해• 오실로스코프, 파형발생기 등 계측장비 사용 경험• EVM 보드 또는 SoC 기반 개발 경험• KiCAD, VIVADO, Altium Designer, OrCAD 등 설계 툴 사용경험• EVM 보드 또는 SoC 기반 개발 경험• KiCAD, VIVADO, Altium Designer, OrCAD 등 설계 툴 사용 경험.","Preferred Qualifications [우리는 이런 팀원이면 더욱 좋아요]• 반사파 계측(TDR/FDR 등) 시스템 이해• 고속 신호처리 회로 및 Mixed-Signal 시스템 경험자• RF/EMC 대응 설계 경험• 무선통신 모듈(BLE/Wi-Fi 등) 회로 설계 및 연동 경험• 펌웨어, FPGA 또는 임베디드 시스템 개발 경험• 스타트업 환경 또는 초기 연구개발 장비 설계 경험• 주도적으로 시스템을 설계하고 빠르게 프로토타이핑 할 수 있는 분• 다양한 도메인의 팀원들과 열린 커뮤니케이션이 가능한 분• 연구개발(R&D)의 불확실성을 즐기며, 도전적인 문제 해결에 열정이 있으신 분."
지파워,"IoT 뷰티디바이스 & 아토피 디지털치료제 펌웨어 엔지니어 모집• IoT 기반 뷰티디바이스 및 디지털치료기 펌웨어 설계·개발• 글로벌 뷰티 대기업과 공동개발 중인 차세대 디바이스의 펌웨어 개발 및 최적화• BLE 통신 기반 모바일 연동 기능 개발• 센서, 모터, 온도 제어 등 하드웨어 제어 로직 설계• RTOS 기반 임베디드 시스템 최적화 및 디버깅• 기기 인증 대응 및 제품 안정성 검증.",• 펌웨어 개발 경력 5년 이상• Nordic BLE (nRF52/53 시리즈 등) 개발 경험 필수• RTOS (FreeRTOS 등) 개발 유경험자• C/C++ 임베디드 환경에서의 개발 능숙자.,"• 피처폰, 스마트폰 개발 경험자• 뷰티·헬스케어 디바이스 개발 경험자• 회로도 이해 및 하드웨어 디버깅 능력 보유자• 의료기기(디지털 치료기기, IoT 헬스디바이스) 개발 경험자."
닷,"• 아날로그/디지털 회로 설계2) Embedded CPU(ARM MCU & ARM AP 및 기타 CPU등) 및 Embedded System 회로 설계3) 전원 관련 회로 설계(USB-PD, 충전, DC-DC, EMI 대응)4) 다양한 Motor Control 설계5) OrCAD, PADS 사용한 설계6) 인증 대응 업무(KCC/FCC/CE등)7) 개발 이벤트 및 생산 관련 대응 업무8) 디버깅 및 테스트.",ㆍ학력 : 대졸이상ㆍ경력 : 경력3년~10년.,"• OrCAD, PADS 사용가능자2) 기구 구조 이해 가능자3) Artwork 가능자4) Artwork에 따른 Autocad 가능자5) 다양한 디바이스 생산 및 대응 경력자6) 인증(KC,CE,FCC등) 유경험자 우대7) 운전면허 보유(차량 운전 가능자)."
